Distance_Threshold	Angle_Difference_Threshold	Num_Points	Num_Routes
10	5	11799	6759
10	10	8994	6700
10	15	7848	6616
10	20	7263	6584
10	25	6905	6515
10	30	6703	6493
10	35	6567	6496
10	40	6458	6485
10	45	6369	6444
10	50	6312	6449
10	60	6201	6467
20	5	6600	6566
20	10	4660	6141
20	15	3909	5665
20	20	3485	5374
20	25	3261	5218
20	30	3078	4978
20	35	2991	4960
20	40	2913	4891
20	45	2858	4803
20	50	2806	4781
20	60	2746	4791
30	5	4993	6274
30	10	3406	5341
30	15	2750	4615
30	20	2463	4339
30	25	2233	4023
30	30	2096	3821
30	35	2007	3751
30	40	1926	3627
30	45	1878	3560
30	50	1848	3515
30	60	1783	3490
40	5	4192	6017
40	10	2763	4744
40	15	2224	3896
40	20	1925	3418
40	25	1744	3081
40	30	1620	2892
40	35	1546	2767
40	40	1491	2732
40	45	1430	2691
40	50	1398	2695
40	60	1345	2565
50	5	3688	5860
50	10	2384	4444
50	15	1903	3447
50	20	1622	2998
50	25	1488	2747
50	30	1363	2536
50	35	1289	2391
50	40	1252	2344
50	45	1196	2248
50	50	1155	2176
50	60	1109	2161
